Thumbnail URL,Reel Link,Content,Date,Video Views,Reach,Likes,Comments,Engagement,Video View time (Seconds),Avg. time watched (Seconds)
"https://scontent-lhr11-1.xx.fbcdn.net/v/t15.5256-10/761515065_2334211814051431_3031441441166277333_n.jpg?stp=dst-jpg_p160x160_tt6&_nc_cat=111&ccb=1-7&_nc_sid=200999&_nc_ohc=YVqfOhS_7qYQ7kNvwE1LjDh&_nc_oc=AdrukB4l4yMIf_NKsllUXRFmiD-jZoZvMmEzO1JMqmxz2SF9EtNcJA5Qk7GXFgFdaoA&_nc_zt=23&_nc_ht=scontent-lhr11-1.xx&edm=ADk9D8YEAAAA&_nc_gid=wrlg1ylSZ_FJUEmDLvW70g&_nc_tpa=Q5bMBQGoWBf93K3rDmdcUni7PzctBk6b2gpN815t3kMAIoYeNbRHZyK0Berq09-8HOBjlR-tZP7l2H8X&oh=00_AQG4jQNZlLBAP8PcSr3E6HbLgIh_iL76gjbl0HL5iGtF1A&oe=6A771320","https://www.facebook.com/reel/4144664145831854/","What Boots is doing right now says a lot about the future of independent pharmacy 👀

#CommunityPharmacy #IndependentPharmacy #PharmacyBusiness #PharmacyNews #TitanPMR",2026-07-31 05:00,131,0,0,0,,"816.14","6.23"
"https://scontent-lhr11-1.xx.fbcdn.net/v/t15.5256-10/759655378_1375906614498522_4259149937194482968_n.jpg?stp=dst-jpg_p160x160_tt6&_nc_cat=104&ccb=1-7&_nc_sid=200999&_nc_ohc=LKmEjkuxgIoQ7kNvwEl0cI0&_nc_oc=AdqmYRH8-UNnSJIj0zAF7mDf1VHpgyXvs3c5S_PffZv9wvxr4FiBxOLvg_BpMjTN5Ps&_nc_zt=23&_nc_ht=scontent-lhr11-1.xx&edm=ADk9D8YEAAAA&_nc_gid=wrlg1ylSZ_FJUEmDLvW70g&_nc_tpa=Q5bMBQHAnt4DgKm7IdaYMBmZnJsIx35Xln5FFpdz_6C3dMdud7r_WafiJl3wlUk45H-MFKbl2xVa19yA&oh=00_AQErUnoueuDKNglUiKnmgRYkfStKK-YDB5gBZjnxAmlhDA&oe=6A76F9E5","https://www.facebook.com/reel/936089526175882/","You never regret making the right decision. Only waiting to make it.

Thanks to Mohammad for taking the time to share your experience with us. 💙

#CommunityPharmacy #TitanPMR #PharmacyTechnology #IndependentPharmacy #Titanverse",2026-07-30 05:00,50,0,1,0,,"203.69","4.07"
"https://scontent-lhr6-1.xx.fbcdn.net/v/t15.5256-10/759002307_2834910316873270_1706763033781131333_n.jpg?stp=dst-jpg_p160x160_tt6&_nc_cat=103&ccb=1-7&_nc_sid=200999&_nc_ohc=qSWAWLUMQpAQ7kNvwHNftSi&_nc_oc=AdrqONBmMR1ybyiO8wL8BflJKy3e97Q17bOVzfGKwspsgYMfFA3usVSyvzXmmUB-VEs&_nc_zt=23&_nc_ht=scontent-lhr6-1.xx&edm=ADk9D8YEAAAA&_nc_gid=wrlg1ylSZ_FJUEmDLvW70g&_nc_tpa=Q5bMBQHZg2UyMsCRtTkWFZp6_X4rAM2e-eke0VOKrDizssM8m6QdFnra-7Pg6-zdBDp1sZlwFpjBarsV&oh=00_AQEnNSdRujTJuuit2hPGYNoNZaxdpziiNayjLyffbJTlaw&oe=6A76F1C7","https://www.facebook.com/reel/1029589229707418/","The best supplier isn’t the one that promises nothing will go wrong.

It’s the one you still trust when it does.

Four years into our partnership with Avonnex, that belief has only become stronger.

Because pharmacy isn’t built on perfect days.

It’s built on how people respond when the difficult ones arrive.

As Amrik says, “The solution is not blame.”

Choose the partner, not just the product. 🤝💙🤖

#CommunityPharmacy #PharmacyAutomation #PharmacyTechnology #IndependentPharmacy #PatientCare",2026-07-29 05:00,73,0,1,0,,"578.76","7.93"
"https://scontent-lhr6-1.xx.fbcdn.net/v/t15.5256-10/757850818_37041763295467276_7957843427487675664_n.jpg?stp=dst-jpg_p168x128_tt6&_nc_cat=108&ccb=1-7&_nc_sid=200999&_nc_ohc=xaGEiHzgxKQQ7kNvwFxYfHh&_nc_oc=Adr6b8e6mPseFo36Er8hLFRHRxYqboti4zLFUgBotzXG90Ea-vZpl55cw3yU_MH38bE&_nc_zt=23&_nc_ht=scontent-lhr6-1.xx&edm=ADk9D8YEAAAA&_nc_gid=wrlg1ylSZ_FJUEmDLvW70g&_nc_tpa=Q5bMBQE1eZldPXH_tq8iJvBlpm29P89BrruKOTX9nQ5LXE-0O7hivoMlIllxFFcFKeBbeU7vkKnQ_KTn&oh=00_AQEaIl3yn7Osx9rIRJ-7jHb2uBE0LFgh6MMbQI8QmhG1CA&oe=6A76F9EF","https://www.facebook.com/reel/1030233139651581/","Building a great pharmacy is never a one-person job.

Spend five minutes at Marton Road and you quickly realise how many people have helped bring Jaya’s vision to life.

On Friday, Marton Road officially became powered by Titan. 🚀

But this story is bigger than one company.

It’s about what happens when the right partners pull in the same direction.

💙 Titan PMR
🤖 Avonnex
📱 PharmAppy

Different specialisms. One ambition. Helping independent pharmacies spend less time fighting systems and more time caring for patients.

Congratulations to Jaya and everyone who helped make it happen. 👏

We’re proud to be part of what Marton Road is building.

#CommunityPharmacy #IndependentPharmacy #PharmacyAutomation #DigitalHealth #PatientCare",2026-07-27 05:00,14,0,0,0,,"194.58","13.9"
"https://scontent-lhr6-1.xx.fbcdn.net/v/t15.5256-10/751842404_888878753806775_3751904719084321048_n.jpg?stp=dst-jpg_p160x160_tt6&_nc_cat=102&ccb=1-7&_nc_sid=200999&_nc_ohc=Rs52tJlD5kkQ7kNvwG_xgq5&_nc_oc=Adpo60PxY1Rz7VphUbpW4D70HNs3mvaX-WF0TfKwLKgDTPKatDPHu39aYWr9J-QcL2U&_nc_zt=23&_nc_ht=scontent-lhr6-1.xx&edm=ADk9D8YEAAAA&_nc_gid=wrlg1ylSZ_FJUEmDLvW70g&_nc_tpa=Q5bMBQGBI-431EEgyXg6qdjdu5S3PO6zavGc3A3ak0Nn87B759THTIczYOpddNSxH9-vQR5y9mwbEtV8&oh=00_AQEn6CAH63odgit6GSNHE13VDVj5jVoYJOFqnw4KlZnY0g&oe=6A770CB6","https://www.facebook.com/reel/1541679680146890/","Other PMRs are catching up. But what's next?

There's still gaps in pharmacy. Not just the dispensary. The business side too.

Sunil is one of the owners already ahead. His pharmacy is geared towards the future, with private services a massive part of it.

He caught up with Nas at TitanUp 26 after he'd seen what's coming to Titan next.

""The package would be complete with some of these additions.""

Titan frees pharmacies from the dispensing and the business overhead. So owners like Sunil can focus on what pharmacy is actually for. Care.

Sunil is already there. Titan is part of how. 💙

#CommunityPharmacy #IndependentPharmacy #PrivateServices #TitanPMR #Titanverse",2026-07-22 07:00,136,0,0,0,,"514.47","3.78"
"https://scontent-lhr11-1.xx.fbcdn.net/v/t15.5256-10/753356528_2188201278628694_7289847740183883942_n.jpg?stp=dst-jpg_p160x160_tt6&_nc_cat=111&ccb=1-7&_nc_sid=200999&_nc_ohc=0g1pBOzcTsUQ7kNvwH-PyLE&_nc_oc=Ado0BUNRW3R-c4eVLCq0Jwafu5qfQdb2z3rGJ283RgXCeVrD7kWhk7sUetCqKMXqAKs&_nc_zt=23&_nc_ht=scontent-lhr11-1.xx&edm=ADk9D8YEAAAA&_nc_gid=wrlg1ylSZ_FJUEmDLvW70g&_nc_tpa=Q5bMBQGcxCxB6o7XPEBNxgxbgjcAcS04F-0dlWfSoKKYu5aepIr04HLSTLQI-o4o2AHD3mRkdiAt6Dj3&oh=00_AQHjE2_0uijEDw28MZnSHqV75OTZexdTSXaUy052c1WwCw&oe=6A77093A","https://www.facebook.com/reel/1578885026952201/","Hub and spoke is becoming really topical in pharmacy. And a lot of independent pharmacy owners are weighing up which one is right for them.

Titan customers have four options:

✅ Wholesaler-run hub
✅ Third-party hub company with their own software
✅ Your own hub with specialist software
✅ Titan's own hub-and-spoke software (peer-to-peer)

Titan PMR COO Hooman explains why. Premium multi-site customers get Titan's hub-and-spoke included in the package. The external three plug into Titan via the Labelling and Packaging API.

The operating-model decision stays where it should. With you.

Book a demo. Link in the comments.

#CommunityPharmacy #IndependentPharmacy #PharmacyBusiness #HubAndSpoke #TitanPMR",2026-07-21 06:01,34,0,0,0,,"133.11","3.92"
"https://scontent-lhr11-1.xx.fbcdn.net/v/t15.5256-10/748623546_2913803215636320_729372868445879248_n.jpg?stp=dst-jpg_p160x160_tt6&_nc_cat=110&ccb=1-7&_nc_sid=200999&_nc_ohc=R61HsX0AcLMQ7kNvwEezORo&_nc_oc=AdqLFdsxYkEZ0GX925TBSPFORJAYUF8PN1BaynuHOAuB2OCqWoIB6qZBMfLKXyimTDo&_nc_zt=23&_nc_ht=scontent-lhr11-1.xx&edm=ADk9D8YEAAAA&_nc_gid=wrlg1ylSZ_FJUEmDLvW70g&_nc_tpa=Q5bMBQHi8n2iCugZS6sI4xix1KGpZs-8pmicCYtJ1seY6Ok3AnqPcIqLSmChKcE-Yafx15Olrly8BcWa&oh=00_AQFvCpxTMFLpD0KpN916BO8ZDMfpIXo56_N41L9SKCll9w&oe=6A770804","https://www.facebook.com/reel/1360024599586552/","If you've ever wondered whether your PMR and your robot are actually working together, or whether you'd have made different choices with hindsight, Friday 24 July is worth putting in the diary.

Marton Road Pharmacy is opening its doors so you can see one setup running live.

Titan PMR working alongside an Avonnex robot. Real prescriptions. Real workflows. The team on the floor.

With Jaya's blessing, we're using his pharmacy to show what a proper setup can do. A stress-free dispensary. More efficiencies. More safety. Time back for the pharmacist team to spend with the community.

Innovation Day is the chance to see whether that vision has been met.

Live demonstrations from 10am. Come, ask, draw your own conclusions.

RSVP: bit.ly/3TDec6r

📍 Marton Road Pharmacy, Bridlington
📅 Friday 24 July

#TitanPMR #InnovationDay #CommunityPharmacy #PharmacyAutomation #MartonRoadPharmacy",2026-07-16 07:00,145,0,0,0,,"700.39","4.83"
"https://scontent-lhr6-1.xx.fbcdn.net/v/t15.5256-10/746761656_2205254930313115_6627483749882872563_n.jpg?stp=dst-jpg_p160x160_tt6&_nc_cat=108&ccb=1-7&_nc_sid=200999&_nc_ohc=Bgfx2lja67MQ7kNvwHHwm43&_nc_oc=AdoBBdxt_A2uwkSfOgtIlhei54NL1F-p02enmtU60g82imNTn_K9awn6uYjXEf-73Ck&_nc_zt=23&_nc_ht=scontent-lhr6-1.xx&edm=ADk9D8YEAAAA&_nc_gid=wrlg1ylSZ_FJUEmDLvW70g&_nc_tpa=Q5bMBQGz_w6M8NTKefu08ulBhz0H3TPA8oDGyv6lPiX8P8x4PSA9U5RK_PCdK5meg9JXI8G4G-q0wT24&oh=00_AQHfAVazSGv6SDsuqObJuWo3dqtU_-hDD0cu1PrOPLC-DA&oe=6A7712D4","https://www.facebook.com/reel/1568505611392423/","Pharmacies are seeing more patients with more complex symptoms.

How do you make sure nothing serious gets missed?

At TitanUp 26, John from DemDx showed us how their clinical copilot sits inside the Titanverse consultation flow.

Open the patient consultation. The algorithm takes over:

✅ Guides the right clinical questions
✅ Flags red flags in real time
✅ Builds the safety netting as you go
✅ Generates the structured clinical note automatically

When the consultation ends, the note is already in the patient record. No extra typing. No missed steps.

Clinician-built pathways, aligned with NICE guidelines, running directly inside Titanverse. No extra tabs. No extra system.

More structure. More safety. Less admin.

Watch it running live. 👇

Dem Dx

#TitanUp26 #Titanverse #CommunityPharmacy #IndependentPharmacy #ClinicalServices #PharmacyFirst #TitanPMR",2026-07-13 12:00,18,0,0,0,,"63.04","3.5"
"https://scontent-lhr11-1.xx.fbcdn.net/v/t15.5256-10/742799316_1591350849015026_4190281136790737597_n.jpg?stp=dst-jpg_p160x160_tt6&_nc_cat=107&ccb=1-7&_nc_sid=200999&_nc_ohc=loXwrjPN6SwQ7kNvwHOS2Ez&_nc_oc=AdpUjdv7blNVBKz1wRCOoEX4PgYyAw5M5rdmD4elebE5sfs6vOnfM0nvn4-C4hmBoeY&_nc_zt=23&_nc_ht=scontent-lhr11-1.xx&edm=ADk9D8YEAAAA&_nc_gid=wrlg1ylSZ_FJUEmDLvW70g&_nc_tpa=Q5bMBQEm1LANQhqKZNTDSJL8JkCdOERYsaqIm2c2emz3p6_liW1PEQ5Up1dnGZNLhbZxifSFTs8H4E3P&oh=00_AQGqhIJl9rpPN1CqZwJyspq6Udsx1_zIGy9IgQRvs8aY7g&oe=6A76FBAD","https://www.facebook.com/reel/869903565900289/","Modern community pharmacy isn't about one thing. It's about how everything works together. On Friday 24 July, Jaya opens the doors of Marton Road Pharmacy so you can see automation, training, patient apps and services all pulling in the same direction.

Titan PMR · Avonnex · PharmAppy · Pharmsmart · Allied Health Training · Pharmacy Mentor

RSVP: bit.ly/4blykjB",2026-07-10 13:00,186,0,1,0,,"1462.58","7.86"
"https://scontent-lhr6-2.xx.fbcdn.net/v/t15.5256-10/741636138_1010099238390954_6317193798387586258_n.jpg?stp=dst-jpg_p160x160_tt6&_nc_cat=109&ccb=1-7&_nc_sid=200999&_nc_ohc=ADClyHuxT30Q7kNvwF40Ecl&_nc_oc=AdplN8nrL9yvGX_r_-ZCHmH2FNvmSYkBBnMc16WLHRQnvSs-hjah4_q4akhB0HTZJTk&_nc_zt=23&_nc_ht=scontent-lhr6-2.xx&edm=ADk9D8YEAAAA&_nc_gid=wrlg1ylSZ_FJUEmDLvW70g&_nc_tpa=Q5bMBQEB-bpjV9St7ZZYEc2UaIVMNRopc24CyhXSVYmk130_1F-Scm1eMV_1GU4YwVAWVL5YIJAQyLs4&oh=00_AQFcXB1yLGeA1yvxYotCkWOhDGitJKv0ch8YLUOqYP01kQ&oe=6A770BD8","https://www.facebook.com/reel/2395655437934700/","Last Friday, Dudley Town Pharmacy went live on Titan.

Their owner said himself that he was apprehensive about switching.

By day three?

No regrets.

Here’s where he landed after seeing the training, the technology and the support in action. 👇

#TitanPMR #CommunityPharmacy #IndependentPharmacy #PharmacyOwner",2026-07-07 07:31,101,0,0,0,,"385.79","3.82"
